danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0.867,0.345,1,-11.042,1,0.0768,0.0212,0.666,0.103,0.259,115.0,418594,4
0.519,0.897,10,-8.048,1,0.113,0.128,0.745,0.978,0.649,122.621,384253,4
0.586,0.616,5,-7.964,1,0.0324,0.182,0.0,0.0927,0.719,148.088,242096,4
0.645,0.708,0,-6.456,1,0.0372,0.0766,1.33e-05,0.125,0.547,97.514,255480,4
0.666,0.519,9,-10.312,0,0.0346,0.327,0.871,0.0915,0.229,123.006,327681,4
0.469,0.743,1,-5.57,0,0.0272,0.00222,0.000111,0.276,0.481,86.953,272292,4
0.662,0.858,2,-4.844,1,0.0428,0.00163,0.0,0.0456,0.295,133.993,181673,4
0.357,0.0047,9,-34.274,1,0.039,0.996,0.955,0.0886,0.484,138.664,211500,4
0.389,0.0784,0,-22.531,1,0.0467,0.958,0.0673,0.117,0.62,183.226,208173,4
0.52,0.172,4,-11.422,0,0.0343,0.972,6.24e-06,0.109,0.0746,67.007,314344,4
0.57,0.662,8,-3.872,1,0.0363,0.0966,0.0,0.161,0.856,94.948,218368,4
0.607,0.064,3,-18.862,1,0.0392,0.964,0.86,0.111,0.155,93.965,114000,4
0.616,0.91,0,-3.004,1,0.0386,0.0459,0.0,0.343,0.693,144.072,252040,4
0.447,0.788,2,-4.994,0,0.0464,0.00257,1.68e-05,0.0744,0.505,80.04,193714,4
0.466,0.182,9,-19.537,1,0.0457,0.879,0.0556,0.341,0.216,128.811,199640,4
0.791,0.713,5,-3.742,0,0.254,0.0163,0.0,0.189,0.514,130.012,192573,4
0.252,0.8,0,-4.845,1,0.0368,0.12,0.0538,0.118,0.29,139.361,335333,4
0.282,0.862,0,-3.578,1,0.0484,0.00392,0.0,0.107,0.366,113.808,319987,3
0.506,0.88,7,-5.005,0,0.0523,0.00256,0.266,0.191,0.283,132.162,144860,4
0.78,0.634,1,-5.941,1,0.16,0.0199,2.98e-05,0.29,0.754,125.25,304507,4
0.697,0.4,5,-5.888,0,0.0511,0.106,0.0,0.102,0.443,179.007,245520,4
0.527,0.789,5,-7.344,0,0.0331,0.0022,0.0172,0.085,0.209,75.019,230142,4
0.614,0.283,0,-8.008,1,0.027,0.472,0.0,0.114,0.331,107.673,280227,3
0.468,0.904,7,-4.574,1,0.0494,0.126,3.89e-06,0.165,0.7,167.998,235387,4
0.146,0.019,0,-31.365,1,0.0476,0.92,0.878,0.0864,0.0492,81.526,93840,3
0.609,0.568,5,-7.925,1,0.029,0.111,0.000419,0.351,0.462,103.566,268227,4
0.414,0.417,0,-16.218,1,0.0653,0.3,0.75,0.0995,0.319,148.193,359783,4
0.651,0.663,0,-5.569,0,0.0281,0.228,0.0,0.0994,0.465,102.0,259453,4
0.626,0.457,4,-13.785,1,0.0384,0.355,9.2e-06,0.0668,0.474,102.166,184267,4
0.178,0.35,6,-14.386,1,0.044,0.85,0.898,0.0994,0.216,74.987,260027,4
0.851,0.497,11,-6.742,0,0.0542,0.0437,7.9e-05,0.0769,0.868,128.001,177920,3
0.328,0.0474,9,-23.403,0,0.0354,0.983,0.909,0.122,0.206,87.896,304467,4
0.469,0.943,2,-4.196,1,0.102,6.07e-05,0.00547,0.0717,0.358,134.031,296973,4
0.367,0.0183,9,-26.958,0,0.0602,0.995,0.889,0.106,0.0683,67.607,179427,3
0.231,0.206,0,-13.593,0,0.0332,0.965,0.856,0.17,0.136,141.628,442400,3
0.462,0.339,6,-14.301,0,0.0418,0.813,0.808,0.108,0.0395,115.015,272014,4
0.522,0.909,10,-5.962,0,0.0431,0.000766,0.00028,0.135,0.609,154.997,243097,4
0.662,0.788,2,-7.755,0,0.03,0.0308,0.0,0.166,0.616,127.97,236936,4
0.558,0.228,11,-16.795,0,0.0322,0.363,0.838,0.073,0.204,77.439,481813,4
0.504,0.957,0,-2.657,1,0.0529,0.00298,0.0,0.187,0.676,135.013,205627,4
0.591,0.516,2,-9.044,1,0.0339,0.0521,0.692,0.196,0.226,72.209,429493,4
