danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,genre,energy_cat
0.356,0.872,-7.837,1,0.068,0.00417,0.00975,0.0997,0.607,166.3,4,blues,5
0.457,0.178,-10.243,1,0.0345,0.946,2.28e-05,0.153,0.249,112.068,3,acoustic,1
0.394,0.249,-10.484,1,0.0396,0.927,0.0,0.115,0.329,79.549,4,acoustic,2
0.864,0.21,-22.485,0,0.0743,0.503,0.879,0.105,0.898,129.93,4,jazz,2
0.882,0.493,-5.305,0,0.0426,0.216,0.0,0.0667,0.746,126.558,4,pop,3
0.497,0.726,-5.976,1,0.0427,0.0221,0.000938,0.235,0.257,102.889,4,acoustic,4
0.569,0.489,-5.594,0,0.04,0.238,0.0,0.29,0.543,123.573,4,jazz,3
0.558,0.886,-4.196,0,0.0482,0.000595,9.91e-05,0.0904,0.171,114.041,4,metal,5
0.292,0.113,-21.698,1,0.0403,0.981,0.887,0.0871,0.0308,68.081,3,classical,1
0.498,0.83,-5.157,0,0.0421,0.00461,0.0,0.139,0.453,89.342,4,metal,5
0.62,0.952,-11.203,1,0.0389,0.00041,0.87,0.21,0.721,135.04,4,techno,5
0.685,0.466,-9.074,1,0.0304,0.794,2.06e-06,0.0915,0.353,79.936,4,pop,3
0.545,0.865,-5.708,0,0.0286,0.00664,1.1e-05,0.168,0.543,99.009,4,rock,5
0.872,0.533,-4.406,1,0.204,0.524,6.86e-05,0.298,0.704,124.029,4,techno,3
0.43,0.944,-4.839,0,0.0567,0.000301,5.95e-06,0.129,0.836,168.015,4,rock,5
0.529,0.812,-7.167,1,0.0453,0.257,0.00523,0.954,0.747,89.906,4,blues,5
0.433,0.778,-4.68,0,0.0371,0.00838,0.0,0.163,0.217,149.864,4,metal,4
0.536,0.988,-1.777,1,0.0671,0.000507,6.45e-05,0.366,0.231,130.777,4,metal,5
0.85,0.67,-5.327,1,0.0908,0.00974,8.11e-05,0.0228,0.935,115.017,4,pop,4
0.565,0.583,-9.359,1,0.0698,0.541,0.916,0.112,0.932,197.9,4,jazz,3
0.453,0.382,-11.882,1,0.0295,0.525,0.00452,0.116,0.18,123.014,3,blues,2
0.735,0.873,-3.493,0,0.0402,0.025,3.27e-06,0.265,0.586,108.021,4,dance,5
0.409,0.979,-2.107,1,0.134,0.00146,2.68e-06,0.139,0.201,173.982,4,metal,5
0.753,0.836,-7.458,0,0.0719,0.132,0.000727,0.353,0.942,131.498,4,blues,5
0.765,0.666,-5.384,1,0.172,0.102,0.0,0.116,0.756,87.002,4,dance,4
0.885,0.503,-11.015,0,0.12,0.172,0.185,0.268,0.764,76.006,4,techno,3
0.42,0.178,-18.33,1,0.0423,0.863,0.182,0.342,0.479,126.39,4,classical,1
0.852,0.551,-4.951,1,0.0416,0.0146,0.0,0.0898,0.85,134.061,4,dance,3
0.722,0.595,-9.928,0,0.0415,0.284,0.00054,0.0694,0.738,79.981,4,rock,3
0.569,0.596,-6.486,1,0.172,0.452,7.92e-05,0.205,0.754,93.135,4,dance,3
0.66,0.449,-6.573,1,0.0442,0.209,0.0,0.111,0.237,133.984,4,acoustic,3
0.57,0.662,-3.872,1,0.0363,0.0966,0.0,0.161,0.856,94.948,4,acoustic,4
0.527,0.933,-6.277,0,0.0382,0.00112,0.0362,0.425,0.493,144.043,4,techno,5
0.504,0.719,-9.155,0,0.0431,0.00878,0.00149,0.075,0.177,102.144,4,blues,4
0.489,0.833,-5.348,1,0.054,0.0036,1.33e-06,0.111,0.307,135.431,4,metal,5
0.464,0.52,-11.744,1,0.0305,0.394,6.82e-06,0.158,0.638,74.765,4,pop,3
