danceability,key,mode,speechiness,liveness,tempo,time_signature,genre
0.427,4,1,0.0565,0.407,103.523,4,rock
0.672,9,0,0.0494,0.149,130.218,4,techno
0.711,10,1,0.0351,0.324,134.21,4,techno
0.556,8,1,0.0311,0.247,94.635,4,techno
0.734,7,1,0.0319,0.328,141.033,4,techno
0.487,8,0,0.0273,0.0712,100.001,4,techno
0.675,1,0,0.0622,0.155,80.958,4,techno
0.652,1,1,0.0293,0.0566,137.982,4,techno
0.649,6,0,0.0628,0.116,132.831,4,techno
0.786,0,0,0.0408,0.0351,135.023,4,techno
0.539,6,0,0.269,0.428,158.782,4,techno
0.537,0,1,0.0258,0.248,81.992,4,techno
0.624,8,1,0.0353,0.132,94.619,4,techno
0.574,6,0,0.0361,0.111,96.288,4,techno
0.799,8,0,0.0803,0.186,140.067,4,techno
0.722,7,1,0.0434,0.104,110.93,4,techno
0.441,11,0,0.0403,0.139,150.01,4,techno
0.519,1,1,0.125,0.179,137.377,4,techno
0.62,1,1,0.0389,0.21,135.04,4,techno
0.729,1,1,0.0354,0.0336,91.518,4,techno
0.739,9,0,0.0479,0.13,135.181,4,techno
0.531,2,1,0.058,0.148,133.945,4,techno
0.414,0,1,0.0653,0.0995,148.193,4,techno
0.788,1,0,0.0702,0.0499,95.044,4,techno
0.504,8,1,0.0305,0.104,133.461,4,techno
0.668,11,1,0.073,0.127,116.141,4,techno
0.54,6,0,0.212,0.0738,134.358,4,techno
0.805,10,0,0.152,0.0825,119.49,4,techno
0.89,1,1,0.0534,0.107,89.927,4,techno
0.56,7,1,0.0379,0.318,139.989,4,techno
0.82,5,1,0.079,0.0797,83.971,4,techno
0.67,9,1,0.437,0.0812,113.468,4,techno
0.794,10,0,0.0797,0.161,139.915,4,techno
0.747,7,1,0.0509,0.0987,143.789,4,techno
0.652,7,1,0.0442,0.228,92.994,4,techno
0.516,6,0,0.132,0.198,92.228,4,techno
0.641,1,1,0.0288,0.0347,137.991,4,techno
0.581,8,1,0.0458,0.0909,82.036,4,techno
0.802,1,1,0.0517,0.0856,128.125,4,techno
0.637,10,0,0.0664,0.112,99.208,4,techno
0.811,5,1,0.0715,0.0766,120.311,4,techno
0.666,0,1,0.0312,0.338,93.973,4,techno
0.595,0,1,0.0349,0.0932,180.074,4,techno
0.806,5,0,0.0962,0.384,133.188,4,techno
0.638,0,0,0.044,0.169,142.966,4,techno
0.795,8,0,0.103,0.0913,151.925,4,techno
0.697,7,0,0.0617,0.145,137.991,4,techno
0.88,9,1,0.275,0.083,138.015,4,techno
0.909,10,0,0.135,0.208,123.986,4,techno
0.74,11,0,0.0496,0.173,136.414,4,techno
0.494,8,1,0.0701,0.381,133.528,4,techno
0.382,0,1,0.0302,0.0719,102.089,4,acoustic
0.47,4,1,0.0587,0.204,84.843,4,acoustic
0.557,11,0,0.0386,0.7,89.117,4,acoustic
0.665,4,1,0.0325,0.103,165.713,1,acoustic
0.716,9,1,0.0361,0.219,110.359,4,acoustic
0.529,0,1,0.0267,0.0567,107.464,4,acoustic
0.477,0,1,0.0325,0.116,91.159,4,acoustic
0.445,6,1,0.0322,0.697,146.957,4,acoustic
0.57,4,1,0.0473,0.111,115.352,3,acoustic
0.689,11,0,0.0495,0.285,102.519,4,acoustic
0.564,8,1,0.0318,0.101,139.201,4,acoustic
0.63,11,1,0.0279,0.186,102.887,4,acoustic
0.55,7,1,0.0271,0.19,153.001,4,acoustic
0.657,8,1,0.0384,0.108,118.499,4,acoustic
0.419,4,1,0.0301,0.695,79.238,3,acoustic
0.555,4,1,0.0284,0.694,102.6,4,acoustic
0.611,9,1,0.0503,0.0903,104.233,4,acoustic
0.634,4,0,0.0438,0.159,129.479,4,acoustic
0.324,7,1,0.0393,0.111,108.161,5,acoustic
0.612,8,1,0.0359,0.0605,118.739,4,acoustic
0.553,9,1,0.0347,0.102,87.372,4,acoustic
0.531,10,0,0.0593,0.109,134.924,3,acoustic
0.391,4,1,0.0354,0.109,191.921,4,acoustic
0.523,7,1,0.0315,0.757,84.526,4,acoustic
0.455,5,0,0.0528,0.094,185.026,3,acoustic
